action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
change_to_left,False,False,False,True,False,False,True,True,True,keep,0.000999,3.996838331222534,28
change_to_left,False,False,False,True,False,False,True,True,True,swerve_left,0.0010043593732920544,3.847914457321167,28
change_to_left,False,False,False,True,False,False,True,True,True,swerve_right,0.0011323641295041124,3.870215654373169,28
change_to_right,False,False,False,True,False,True,False,True,True,change_to_left,0.8762125713880811,3.8093364238739014,29
change_to_right,False,False,False,True,False,True,False,True,True,change_to_right,1.0,2.789325475692749,29
change_to_right,False,False,False,True,False,True,False,True,True,cruise,0.22124375838886476,3.8180954456329346,29
change_to_right,False,False,False,True,False,True,False,True,True,keep,0.0009989999999999999,3.886310577392578,29
change_to_right,False,False,False,True,False,True,False,True,True,swerve_left,0.001004703046781545,3.839062452316284,29
change_to_right,False,False,False,True,False,True,False,True,True,swerve_right,0.0011323641295041124,3.8711392879486084,29
change_to_left,False,False,False,True,False,True,False,True,True,change_to_left,1.0,2.818943977355957,30
change_to_left,False,False,False,True,False,True,False,True,True,change_to_right,0.8794809401214929,3.8142247200012207,30
change_to_left,False,False,False,True,False,True,False,True,True,cruise,0.22123926248858447,3.8172760009765625,30
change_to_left,False,False,False,True,False,True,False,True,True,keep,0.000999,3.891820192337036,30
change_to_left,False,False,False,True,False,True,False,True,True,swerve_left,0.001004703046781545,3.8386013507843018,30
change_to_left,False,False,False,True,False,True,False,True,True,swerve_right,0.0011323641295041124,3.8478143215179443,30
change_to_right,False,False,False,True,False,True,True,True,True,change_to_left,0.8761131770289412,3.8964805603027344,31
change_to_right,False,False,False,True,False,True,True,True,True,change_to_right,1.0,2.818931818008423,31
change_to_right,False,False,False,True,False,True,True,True,True,cruise,0.22502491816511744,3.8742740154266357,31
change_to_right,False,False,False,True,False,True,True,True,True,keep,0.0009989999999999999,3.9215049743652344,31
change_to_right,False,False,False,True,False,True,True,True,True,swerve_left,0.001004738861937617,3.8266263008117676,31
change_to_right,False,False,False,True,False,True,True,True,True,swerve_right,0.0011323641295041124,3.829334020614624,31
change_to_left,False,False,False,True,False,True,True,True,True,change_to_left,1.0,2.829970121383667,32
change_to_left,False,False,False,True,False,True,True,True,True,change_to_right,0.8794805891888028,3.8221545219421387,32
change_to_left,False,False,False,True,False,True,True,True,True,cruise,0.22502492696699758,3.851304292678833,32
change_to_left,False,False,False,True,False,True,True,True,True,keep,0.0009989999999999999,3.9055047035217285,32
change_to_left,False,False,False,True,False,True,True,True,True,swerve_left,0.001004738861937617,3.873699426651001,32
change_to_left,False,False,False,True,False,True,True,True,True,swerve_right,0.0011323641295041124,3.8761255741119385,32
change_to_right,False,False,False,True,True,False,False,True,True,change_to_left,0.876212573314249,3.8390860557556152,33
change_to_right,False,False,False,True,True,False,False,True,True,change_to_right,1.0,2.838313102722168,33
change_to_right,False,False,False,True,True,False,False,True,True,cruise,0.22124250288104685,3.8379862308502197,33
change_to_right,False,False,False,True,True,False,False,True,True,keep,0.000999,3.919821262359619,33
change_to_right,False,False,False,True,True,False,False,True,True,swerve_left,0.0010047030417476152,3.8249430656433105,33
change_to_right,False,False,False,True,True,False,False,True,True,swerve_right,0.0011323641295041124,3.88265323638916,33
change_to_left,False,False,False,True,True,False,False,True,True,change_to_left,1.0,2.793231248855591,34
change_to_left,False,False,False,True,True,False,False,True,True,change_to_right,0.879481293633302,3.8180203437805176,34
change_to_left,False,False,False,True,True,False,False,True,True,cruise,0.22124124340413137,3.8138279914855957,34
change_to_left,False,False,False,True,True,False,False,True,True,keep,0.0009989999999999999,3.8708972930908203,34
